,sentence,subjectivity_score,label
0,"we report an operating loss in the first quarter of $ 21 million at the segment level .",0.3333333333333333,fact
1,[PROPN] adjust to exclude the restructuring charge associate with the permanent shut down of our [PROPN] [PROPN] and [PROPN] [PROPN] [PROPN] coke make facility be a $ 110 million for the first quarter .,0.3111111111111111,fact
2,we face extremely difficult condition in the first quarter with high level of import and supply chain inventory and rapidly fall spot price and rig count significantly impact volume at both our flat roll and tubular segment .,0.5746666666666667,neutral
3,"the continue strengthening of the [PROPN] dollar , particularly in relation to the euro help to keep import pressure high in [PROPN] [PROPN] and negatively impact our european segment result .",0.31833333333333336,fact
4,while we be take aggressive action in the near term to mitigate the downside result from the difficult market condition our result over the last 12 month reflect the earning leverage we have when market condition begin to improve .,0.39166666666666666,neutral
5,we remain focused on the execution of project support our [PROPN] [PROPN] transformation that improve our earning power .,0.0,fact
6,we have a strong cash balance and enough liquidity to keep we well positioned to deal with the currently difficult condition .,0.7444444444444445,opinion
7,we generate a $ 136 million in cash from operation in the first quarter and have generate over a $ 1billion of cash in the last 12 month .,0.19999999999999998,fact
8,we remain focused on cash management and continue to build on the work capital gain we make last year .,0.06666666666666667,fact
9,"a strong cash position , substantial liquidity and an improved balance sheet keep we position to invest in high return project include project that we have refer as quick win which be small in size and have very short implementation period .",0.4938888888888889,neutral
10,"our strong cash position also support our strategic initiative to increase our funding for the research , innovation and technology need to develop the steel solution that will create value for both our customer and our stockholder .",0.7333333333333333,opinion
11,[PROPN] will now provide additional detail about our segment result .,0.0,fact
12,", [PROPN] .",0.0,fact
13,"first quarter result for our flat - roll segment decrease significantly compare to fourth quarter primarily due to low shipment include inter segment shipment to our tubular segment .",0.3347222222222222,fact
14,our flat - roll segment result continue to be adversely impact by the mass of steel import that accelerate during the first quarter many of which we believe be unfairly trade .,0.4895833333333333,neutral
15,[PROPN] realize price have decrease due to the adverse effect of these import which have serve to dramatically reduce spot market price and index and have negatively impact pricing on both spot and certain contract volume .,0.4488095238095238,neutral
16,the decline result also reflect the inefficiency result from reduced production level at all of our facility .,0.0,fact
17,"first quarter result for our tubular segment decrease significantly compare to fourth quarter , primarily due to low shipment .",0.37666666666666665,fact
18,shipment be adversely impact by reduce drilling activity cause by low coal price and a significant amount of tubular import volume .,0.5875,neutral
19,inefficiency from reduced operating level at all of our tubular facility also negatively affect first quarter result .,0.3666666666666667,fact
20,for our european segment result be comparable to the fourth quarter with the positive effect of increase in shipment and reduction in raw material cost offset by negative foreign currency effect and a slight decrease in the average realize [PROPN] base price .,0.3442955192955193,fact
21,now I 'll turn the call back to [PROPN] for some additional comment on our [PROPN] [PROPN] transformation and the favorable impact they continue to deliver .,0.0,fact
22,[PROPN] [PROPN] [PROPN]  [PROPN] .,0.0,fact
23,"on our earning call at the end of [PROPN] , we disclose that we would have $ 150 million in [PROPN] [PROPN] benefit in 2015 as compare to 2014 as the base year .",1.0,opinion
24,we have continue to make progress as our pipeline of value create project have grow and we continue to focus on the disciplined and systematic execution of these project .,0.0,fact
25,include the benefit from project we implement during the first quarter our new total for 2015 [PROPN] way benefit for 2015 be $ 340 million .,0.5126262626262627,neutral
26,"a few example of project implement in the first quarter include process improvement increase the recovery of off gas [ ph ] in the steel shop at [PROPN] for reuse as fuel for our boiler , not only reduce our purchase of natural gas and coal but also lower total [PROPN] emission .",0.5166666666666667,neutral
27,process improvement for tracking and management of couple inventory at our two wheeler operation result in low inventory level and reduce coupling purchase .,0.3,fact
28,process improvement for management of inner plant shipment in the flat - roll segment result in low freight cost and more efficient inventory planning and working capital management .,0.27291666666666664,fact
29,"there be thousand of project that aggregate , deliver substantial benefit that be get we to the impressive result we have achieve so far and I would once again like to emphasize that these be not target or objective and they be not speculative .",0.7000000000000001,opinion
30,these be the result of project and improvement that have be implement .,0.0,fact
31,"we be spend cash wisely , implement [PROPN] way project that create value and require less expenditure .",0.48333333333333334,neutral
32,"our pace of progress on the [PROPN] way transformation continue to exceed our expectation and the continue benefit will improve our capability to earn the right to grow and then drive sustainable , profitable growth over the long term as we deal with the cyclicality and volatility of the global steel industry .",0.3119047619047619,fact
33,now turn to slide nine for an update on our [PROPN] way transformation process .,0.0,fact
